150;Долно Драглище;2798;074403;22602;40
151;Горно Драглище;2797;074401;16754;40
152;Бельово;2824;074388;03784;40
153;Белевехчево;2800;0746;03335;40
154;Яново;2816;074322;87446;40
155;Рожен;2820;07437;62918;40
156;Стожа;2800;NULL;69290;40
157;Пирин;2823;074386;56410;40
158;Враня;2830;07438;12200;40
159;Склаве;2811;07435;66785;40
160;Долени;2887;NULL;21909;40
161;Кашина;2820;07437;36734;40
162;Мелник;2820;07437;47754;40
163;Хотово;2821;07435;77361;40
164;Лехово;2816;NULL;43503;40
165;Вихрен;2800;NULL;11315;40
166;Храсна;2824;074388;77414;40
167;Плоски;2810;07439;56839;40
168;Струма;2806;074324;69938;40
169;Бождово;2811;0746;04933;40
170;Вълково;2807;074324;12471;40
171;Лебница;2866;074324;43181;40
172;Зорница;2821;074323;20910;40
173;Лешница;2808;07431;43565;40
174;Любовка;2811;07435;44639;40
175;Дебрене;2803;0746;20345;40
176;Петрово;2815;074322;56174;40
177;Хърсово;2819;074321;77565;40
178;Спатово;2811;07435;68223;40
179;Катунци;2830;07438;36693;40
180;Ковачево;2824;074388;37486;40
181;Сугарево;2820;07437;70189;40
182;Ладарево;2811;07435;43030;40
183;Лозеница;2821;074323;44121;40
184;Голешово;2818;0746;15583;40
185;Поленица;2804;07431;57176;40
186;Пиперица;2831;07438;56352;40
187;Любовище;2880;07437;44625;40
188;Левуново;2817;07436;43243;40
189;Лиляново;2809;074325;43699;40
190;Дамяница;2813;07430;20105;40
191;Джигурово;2812;0746;20780;40
192;Сандански;2800;0746;65334;40
193;Черешница;2824;074388;80618;40
194;Калиманци;2832;07438;35362;40
195;Ласкарево;2811;07435;43150;40
196;Кърланово;2820;07437;40926;40
197;Виногради;2822;074323;11168;40
198;Кръстилци;2805;0746;40378;40
199;Златолист;2830;07438;31139;40
200;Голем Цалим;2800;0746;15549;40
201;Малки Цалим;2800;NULL;46526;40
202;Горна Сушица;2811;07435;16403;40
203;Ново Ходжово;2831;07438;52307;40
204;Ново Делчево;2814;074327;52074;40
205;Пирне;8528;05533;56438;40
206;Горно Спанчево;2824;074388;16969;40
207;Кочан;2955;07545;39089;40
208;Долен;2968;07549;21868;40
209;Осина;2953;07544;54225;40
210;Крибул;2951;07541;39726;40
211;Жижево;2956;07545;29372;40
212;Слащен;2937;07546;67270;40
213;Фъргово;2952;07545;76203;40
214;Боголин;2931;07547;04707;40
215;Сатовча;2950;07541;65440;40
216;Плетена;2954;07541;56740;40
217;Годешево;2938;07548;15312;40
218;Вълкосел;2930;07547;12499;40
219;Туховища;2939;07548;73519;40
220;Ваклиново;2957;07545;10046;40
221;Полена;2758;0748;57162;40
222;Полето;2751;0748;57203;40
223;Сушица;2759;0748;35105;40
224;Мечкул;2754;0748;48012;40
225;Градево;2755;0748;17405;40
226;Брежани;2750;0748;06238;40
227;Ракитна;2753;0748;61978;40
228;Симитли;2730;0748;66460;40
229;Черниче;2741;0748;81013;40
230;Сенокос;2752;0748;66247;40
231;Крупник;2740;0748;40052;40
232;Брестово;2735;NULL;06522;40
233;Тросково;2733;0748;73184;40
234;Железница;2732;0748;29146;40
